Id,Claude Label,Claude Short Label,Claude Description,Size
113,Korean Hip-Hop/Freestyle Music Channels,KR Hip-Hop/Freestyle,"Korean hip-hop freestyle and beat channels (Dingo Freestyle, HYPNOSIS THERAPY).",3
114,Small Mixed Entertainment/Film Creators,Small Mixed Entertainment,"Small, loosely related entertainment and short-film channels (Maerimu, XnoxC, Jefreeyy).",5
115,Indonesian/Asian Indie VTuber & Cover Singers,Indonesian/Asian VTubers,"Small independent Indonesian/Asian VTubers and song cover channels (Engkal, Xion Regalia Ch, Kotone♡Rin).",14
116,Lo-fi/Alt-Pop & Indonesian Pop Music Mix,Lo-fi/Indonesian Pop Mix,"Alt-pop and lo-fi hip-hop artists (Billie Eilish, Shiloh Dynasty) alongside Indonesian pop singers (Tiara Andini, Fadli Hasan).",80
117,Indonesian Pop Music & Dance Creators,Indonesian Pop/Dance,"Indonesian pop/dangdut singers and dance crews (Ndarboy Genk, Diego Takupaz, Takupaz Dance Crew).",10
118,Small Pop/Electronic Cover Music Creators,Small Pop/Electronic Covers,"Small pop/electronic cover-song channels (Singinoffkey, Elif).",3
119,Indonesian Mobile Gaming Creators,Indonesian Mobile Gaming,"Small Indonesian mobile-gaming channels (GameJari HD, DHYFU Gaming).",3
120,Prayer Pray – Christian Music Channel & Topic Channel,Prayer Pray,Christian music channel 'Prayer Pray' and its auto-generated 'Topic' channel.,2
121,Lo-fi/Instrumental Hip-Hop Beat Channels,Lo-fi Beat Channels,"Lo-fi and instrumental hip-hop beat channels (SyrebralVibes, Unique Vibes).",2
122,Small Gaming Channels (Mixed Language),Small Gaming (Mixed Lang.),"Small mixed-language gaming channels (Kim & Nana's Gaming World, 閃耀吧嚕咪).",2
123,Chinese-language Political Commentary Channels,Chinese Political Commentary,"Chinese-language political/current-affairs commentary channels (时政小算盘Aca, 小张资料库).",2
124,Nijisanji VTuber & Japanese BGM/Music Creators,Nijisanji/BGM Creators,"Nijisanji VTuber talents (Lunlun, Shiga Riko) alongside independent Japanese background-music/beat channels.",60
125,Finance/Commentary Channels (Mixed Language),Finance Commentary,"Small finance/stock commentary channels in English and Chinese (Jefftalkstocks, 老杰短评书).",2
126,Chinese Television Variety Shows & Music,Chinese TV Variety,"Chinese state/provincial TV variety and music channels, notably Zhejiang TV's Keep Running franchise.",13
127,Vocaloid/Japanese Independent Music Producers,Vocaloid/JP Indie Music,"Hatsune Miku and Vocaloid-adjacent independent Japanese music producers (Yorushika, Mafumafu, DECO*27, inabakumori), plus official Pokemon Japan channel.",110
128,Safri Duo – Official & VEVO Channels,Safri Duo,Danish duo Safri Duo's official and VEVO channels.,2
129,Roblox Gaming Creators,Roblox Gaming,"Roblox-focused gaming channels (MiniBloxia, hoppy819).",2
130,Free Fire Mobile Gaming Creators (Latin America),Free Fire Gaming (LatAm),"Latin American mobile gaming creators focused on Free Fire (NRZ, Zerox FF, Duranto Official).",4
131,Armenian/Georgian Folk & Pop Music Channels,Armenian/Georgian Music,"Caucasus-region folk and pop music channels (East Duo, Georgian Folk, Anahit Vardanyan).",7
132,Fortnite/Battle-Royale Gaming Creators,Fortnite/Battle-Royale,"Battle-royale and Fortnite-focused gaming creators (Ninja, SypherPK, Nick Eh 30, CouRage) with KSI Music crossover.",47
133,Rust & Survival-Game Commentary Creators,Rust/Survival Gaming,"Gaming YouTubers centered on the survival game Rust and similar strategy/RPG titles (Blooprint, Willjum, Frost, Memeio).",110
134,French-language Urban/Pop Music Artists,French Urban/Pop,"Francophone urban and pop artists (GIMS, Soolking, Tayc, TIAKOLA).",11
135,Shakira – Official & VEVO Channels,Shakira,Shakira's official and VEVO channels.,2
136,KAROL G – Official & VEVO Channels,KAROL G,KAROL G's official and VEVO channels.,2
137,Morat – Official & VEVO Channels,Morat,Latin pop band Morat's official and VEVO channels.,2
138,Melendi – Official & Auto-generated Channels,Melendi,Spanish singer Melendi's official channel plus his VEVO and auto-generated 'Topic' channels.,4
139,Alejandro Sanz – Official & Auto-generated Channels,Alejandro Sanz,"Spanish singer Alejandro Sanz's official, VEVO, catalog and 'Topic' channels.",4
140,Reik – Official & VEVO Channels,Reik,Latin pop band Reik's official and VEVO channels.,2
141,Juan Gabriel – Official & VEVO Channels,Juan Gabriel,Mexican singer Juan Gabriel's official and VEVO channels.,2
142,Minecraft & Dream SMP Creator Community,Minecraft/Dream SMP,"Minecraft-focused creators (TommyInnit, EYstreem, Mumbo Jumbo) and the fan-music artists who write songs about them (CG5, The Living Tombstone).",134
143,Japanese Vocaloid Singers & Niconico Music Community,JP Vocaloid/Niconico,"Niconico/Vocaloid-scene Japanese singers (marasy8, Amatsuki, nqrse, Ireis) with some food/lifestyle crossover channels (Corbucci Eats, Moeazu).",57
144,Japanese Lifestyle/Variety Vlogger Collab Circle,JP Vlogger Collab Circle,"Established Japanese daily-vlog and variety YouTubers who frequently collaborate (Kirizaki Eiji, Takkuu TV Radio, Umazura Video, Toland Vlog).",39
145,Nijisanji/Hololive Japanese VTuber Gaming Community,Nijisanji/Hololive Gaming,"Japanese-language VTuber talents (Nijisanji's Hyakumantenbara Salome, Tsukino Mito; Hololive's Haachama, Roboco) centered on gaming and variety streams.",141
146,"Anime, J-Pop & Western Animation Crossover Audience",Anime/J-Pop Crossover,"Crossover fanbase linking Western animation/comedy (Smosh, Vivziepop/Hazbin Hotel) with Japanese pop and anime IP (Kenshi Yonezu, Genshin Impact, ZUTOMAYO, King Gnu, Crunchyroll).",239
147,Japanese Let's-Play/Game Commentary Creators,JP Let's-Play Gaming,"Japanese gaming commentary/let's-play channels (牛沢, とりっぴぃ, towacoチャンネル).",39
148,Vocaloid & Japanese Music Producers,Vocaloid/JP Music,"Vocaloid producers and Japanese pop/rock artists (Kanaria, MARETU, Kairiki Bear, Shiina Ringo) plus English-language Vocaloid cover singers (JubyPhonic); topic tags dominated by Music of Asia and Pop music.",322
149,Prank/Challenge & Viral Entertainment Creators,Prank/Challenge Creators,"MrBeast-adjacent viral challenge/prank creators (MrBeast 2, Airrack, Trevor Wallace, Scammer Payback) plus Netflix.",51
150,India Martínez – Official & VEVO Channels,India Martínez,Spanish singer India Martínez's official and VEVO channels.,2
151,English-Language Anime-Rap & Vocaloid Music Community,EN Anime-Rap/Vocaloid,"Predominantly anime-inspired rap/hip-hop artists and beatmakers (RUSTAGE, Shwabadi, Daddyphatsnaps, Ben Schuller, Encore, Ayo Oddwin!) alongside Vocaloid/anime cover singers (ChewieCatt, FabvL, Lauren Babic, tunnA Beatz) and anime video essayists (Super Eyepatch Wolf, Whyt Manga). Topic tags are dominated by Hip hop and Electronic music (not Music of Asia), since YouTube classifies by musical genre rather than by anime theme. Rebalanced from 'EN Anime/Vocaloid Music,' whose description over-emphasized video essayists/cover singers relative to the larger anime-rap/beatmaker segment.",292
152,Japanese Pop/Acoustic Singer-Songwriter Community,JP Pop/Acoustic Singers,"Japanese pop and acoustic singer-songwriters (HoneyWorks, Takenaka Yudai, Kawasaki Takaya, Tani Yuuki).",23
153,Japanese Horror & Lifestyle Vlog Creators,JP Horror/Lifestyle,"Japanese channels focused on horror/urban-legend stories and personal lifestyle vlogging (狂武蔵たくちゃんねる, Japanese Horror Binchu).",11
154,Indie/Musical-Theatre Pop Creators,Musical-Theatre Pop,"Independent musical-theatre-adjacent pop artists (Jorge Rivera-Herrans of Epic: The Musical, MICO).",21
155,UK YouTuber Collab Collective (Sidemen/Beta Squad),Sidemen/Beta Squad,"The Sidemen and Beta Squad ecosystem of UK creators (Niko Omilana, JiDion, Chunkz) who regularly collaborate.",35
156,Gaming Commentary & Podcast Creators (SMii7Y circle),SMii7Y Circle,"Gaming commentary and podcast channels centered on SMii7Y and his collaborators (Grizzy, Bigpuffer, ElasticDroid).",13
157,Brony/Furry Fandom Electronic Music Producers,Brony/Furry Music,"Electronic music producers associated with the My Little Pony/brony and furry fandoms (Silva Hound, Vylet Pony, BSlick).",13
158,Spanish-language Anime Rap & Cover Music Creators,Spanish Anime Rap/Covers,"Spanish-language rap/cover artists focused on anime, games and pop culture (Doble Cero, Jakeneutron, Jay-F).",18
159,J-pop & BanG Dream Anime Music Labels,J-pop/BanG Dream,"J-pop labels and anime-music-franchise channels (Universal Music Japan, BanG Dream, Sukima Switch).",10
160,Kajisac (Yoshimoto Comedian) YouTube Network,Kajisac Network,The YouTube network of Japanese comedian Kajiwara's Kajisac persona and related family/variety channels.,8
161,774inc/Nanashi Inc. VTuber Agency Talents,774inc VTubers,"VTubers formerly or currently under the 774inc (ななしいんく) agency and affiliated RK Music talents (Patra, VESPERBELL, KMNZ, Mary Channel).",11
162,Japanese Vocaloid & Regional Dance Music Creators,JP Vocaloid/Regional Dance,"Japanese Vocaloid singers and regional folk-dance (Yosakoi) music channels (Alfakyun., よさこいバンキッシュ).",9
163,Small Indonesian/Asian VTuber & Cover Singers,Small Indonesian/Asian VTubers,"Small Southeast Asian VTuber and song-cover channels (LOLUET, Izanagi Sharron ID VTUBER).",9
164,Small Vocaloid/Pop Cover Singers,Small Vocaloid/Pop Covers,"Small-subscriber Vocaloid and pop cover singers (Miss Lina, Hanii, Erika Mizuki).",11
165,Dream SMP Minecraft Creator Community,Dream SMP,"Members and affiliates of the Dream SMP Minecraft roleplay server (Dream, GeorgeNotFound, Karl, Quackity, Wilbur Soot, Sapnap).",34
166,Sports-Stunt & Prank/Lifestyle Entertainment,Sports-Stunt/Prank Ent.,"Sports-trick-shot and stunt/challenge entertainment (Dude Perfect, Savannah Bananas, Good Good) alongside prank/lifestyle vlogger content (SteveWillDoIt, Corinna Kopf, Alex Ernst, David Dobrik). No dedicated 'Sport' topic tag appears because YouTube classifies most of these channels under generic Lifestyle/Entertainment/Film categories, not because the label is inaccurate. Broadened from 'Sports/Stunt Entertainment' to reflect the prank/lifestyle contingent.",23
167,EDM/Dance-Pop Music Artists,EDM/Dance-Pop,"Mainstream EDM and dance-pop artists (David Guetta, Teddy Swims, Nicky Romero, Tones and I).",9
168,Large Individual Creator Brands (PewDiePie-adjacent),Large Creator Brands,"Some of YouTube's largest individual personal-brand channels (PewDiePie, Lofi Girl, RAINBOLT).",5
169,Simulation/Strategy Gaming Creators,Sim/Strategy Gaming,"Simulation and strategy gaming channels (MrBeast Gaming, TheDevildogGamer).",3
170,Arabic Pop/Hip-Hop Small Artists,Arabic Pop/Hip-Hop,"Small Arabic-language pop and hip-hop artists (Islam Afro, Tareq Habawwal).",4
171,Global Multi-language Creator Network,Multi-language Creators,"Internationally huge creators from different language markets (AboFlah - Arabic/Saudi, CarryMinati/Fukra Insaan - Hindi/India, KSI/Mrwhosetheboss - UK) linked by cross-collabs and challenge content.",35
172,PC Hardware & Tech Review Creators,PC Hardware Reviews,"PC-building and hardware review channels (Austin Evans, CarterPCs).",4
173,Consumer Tech & Gadget Review Channels,Tech/Gadget Reviews,"Consumer electronics/gadget review channels and brands (Unbox Therapy, Samsung, DJI, iJustine, Huawei).",32
174,Tech Review Channels (Dave2D & Snapdragon),Dave2D/Snapdragon,Laptop/tech review channel Dave2D linked with chipmaker Qualcomm's Snapdragon channel.,2
175,Tech Review & Engineering Hobbyist Channels,Tech/Engineering Hobbyists,"Consumer tech review and DIY engineering channels (Jonathan Morrison, 3D Printing Nerd, Level1Techs).",9
