Id,Label,Cluster Id,Cluster Label,Cluster Main Attribute,Cluster Description
UCjViLOtyvR9h1hXZU6F6q6w,ThatGuyJohn,6,Miscellaneous Small Channels,Miscellaneous,"Loosely connected very small lifestyle channels (ThatGuyJohn, ItsJustJay, Gulay)."
UCFJLO3HoTMzXYoeb2ocXe8w,Dhar Mann Studios Top Videos,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UCWc8CackfCo4q46FpEWBcPg,Jeenie.Weenie,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UC_J_2HxLExDed9fITZTUDXQ,Dhar Mann Bonus,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UC_hK9fOxyy_TM8FJGXIyG8Q,Dhar Mann Studios,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UCyYmJqr8JWIGQ1BDdnnXaBA,Dhar Mann Bonus Compilations,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UCJC4N7DUUd0SUICV5FqCXkg,Unreal BS,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UCOVOFrXlQQxTdklYAzP1C-Q,GeoBeluga,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UCe2SaU4UT7jkpTP04TM_hJA,Obeliskbs,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UCvl54wMzxTPObTA2NKDGAbw,Alegag,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UCGlKrG9oJIXrwpmRDHG3lng,Speedy J,9,Techno/Electronic Music DJs (Awakenings circle),Music Genre,"Techno DJs associated with the Awakenings festival brand (Chris Liebing, Speedy J, Steve Rachmad)."
UCV6qd2kF9ShJj_vaej6AJ9Q,Awakenings,9,Techno/Electronic Music DJs (Awakenings circle),Music Genre,"Techno DJs associated with the Awakenings festival brand (Chris Liebing, Speedy J, Steve Rachmad)."
UCeaIigwbXbgiTV2Ks1gs32g,Chris Liebing,9,Techno/Electronic Music DJs (Awakenings circle),Music Genre,"Techno DJs associated with the Awakenings festival brand (Chris Liebing, Speedy J, Steve Rachmad)."
UCUYNYRcKqzHhyUGVQEJWffA,Isaak Koorey,10,Small Independent Music Creators,Music Genre,"Very small independent music channels (clo what, Isaak Koorey)."
UCqFX3-djkoyS3RQPTo4JVnA,clo what,10,Small Independent Music Creators,Music Genre,"Very small independent music channels (clo what, Isaak Koorey)."
UCJ9ZHDIxbYrx6hJpB-CKk8w,TECHLENSIVE,11,Miscellaneous Small Tech/Religious Channels,Miscellaneous,"Small unrelated tech and religious channels (TECHLENSIVE, GOSPEL HORN)."
UCaQL8rJvC6STx7ujGzEnkDg,GOSPEL HORN,11,Miscellaneous Small Tech/Religious Channels,Miscellaneous,"Small unrelated tech and religious channels (TECHLENSIVE, GOSPEL HORN)."
UC-ncGsy-o2EXAFiwxIiAicQ,W1ZARD,12,Small Gaming Channels,Topic/Genre,"Very small gaming channels (W1ZARD, DragonicDiceB)."
UCxt_P6scPSrnRQi084qjIkw,DragonicDiceB,12,Small Gaming Channels,Topic/Genre,"Very small gaming channels (W1ZARD, DragonicDiceB)."
UC-39MFkm-1euDqSUSfPpEgw,Just Josh Biz,13,Small Tech Review Channels,Topic/Genre,"Small Apple/tech-focused review channels (Alex Ziskind, Andrew Marc David, Just Josh)."
UCajiMK_CY9icRhLepS8_3ug,Alex Ziskind,13,Small Tech Review Channels,Topic/Genre,"Small Apple/tech-focused review channels (Alex Ziskind, Andrew Marc David, Just Josh)."
UCqh8w-GY6v0vgwIn_iWt87A,Andrew Marc David,13,Small Tech Review Channels,Topic/Genre,"Small Apple/tech-focused review channels (Alex Ziskind, Andrew Marc David, Just Josh)."
UCtHm9ai5zSb-yfRnnUBopAg,Just Josh,13,Small Tech Review Channels,Topic/Genre,"Small Apple/tech-focused review channels (Alex Ziskind, Andrew Marc David, Just Josh)."
UCDZDBlaQ7Nrrra0sJhJI_Ng,𝑺𝒖𝒎𝒎𝒆𝒓͙͘͡,14,Small Anime/Gaming Fan Channels,Fandom/Community,"Small anime and gaming fan-content channels (Emerald and Ruby, m1nty)."
UCKe2bQYsX7pmhcTSLYJ9y2Q,m1nty,14,Small Anime/Gaming Fan Channels,Fandom/Community,"Small anime and gaming fan-content channels (Emerald and Ruby, m1nty)."
UCOGC-bI4HhyXJYj6-d-URUw,Emerald and Ruby,14,Small Anime/Gaming Fan Channels,Fandom/Community,"Small anime and gaming fan-content channels (Emerald and Ruby, m1nty)."
UCsgv1MlOAUeUsMd_znxvlxA,mochiz,14,Small Anime/Gaming Fan Channels,Fandom/Community,"Small anime and gaming fan-content channels (Emerald and Ruby, m1nty)."
UC0lhr4dvpfKJ0C3TPFXu3ww,Seether,15,Seether – Official & VEVO Channels,Same Artist,Rock band Seether's official and VEVO channels.
UC2lkUzsiOARl3nwZDeZus3g,SeetherVEVO,15,Seether – Official & VEVO Channels,Same Artist,Rock band Seether's official and VEVO channels.
UCDuIpWXcrBaTCNJTNd4meWw,Lloyd,16,Lloyd – Official & VEVO Channels,Same Artist,R&B artist Lloyd's official and VEVO channels.
UCYvy_rZWF3udXeDHy3PBdtw,LloydVEVO,16,Lloyd – Official & VEVO Channels,Same Artist,R&B artist Lloyd's official and VEVO channels.
UCV0pIPt5HFfulonNog3cz1A,G Herbo,17,Hip-Hop Artists & VEVO Channels,Music Genre,"Hip-hop artists and their VEVO channels (Harlem Fetty, G Herbo)."
UC_eQfAQjj6mYj92l3SBmIdg,Harlem Fetty,17,Hip-Hop Artists & VEVO Channels,Music Genre,"Hip-hop artists and their VEVO channels (Harlem Fetty, G Herbo)."
UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,18,Maroon 5 Official/VEVO Channels (+ K-pop dance crossover),Same Artist,"Maroon 5's official and VEVO channels, linked to a K-pop dance-cover channel (Lilifilm Official)."
UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,18,Maroon 5 Official/VEVO Channels (+ K-pop dance crossover),Same Artist,"Maroon 5's official and VEVO channels, linked to a K-pop dance-cover channel (Lilifilm Official)."
UC5Ls-9vs1SI7bEOtn8BD8vA,Feeture,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UCxX8Kd1xWQ1I1N3HAAzihBw,Larry Ohh,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UC9YcTIQuhwgoOQqYMKYqW9A,Migos ATL,20,Migos – Official & VEVO Channels,Same Artist,Hip-hop group Migos' official (Migos ATL) and VEVO channels.
UCGIelM2Dj3zza3xyV3pL3WQ,MigosVEVO,20,Migos – Official & VEVO Channels,Same Artist,Hip-hop group Migos' official (Migos ATL) and VEVO channels.
UC2xskkQVFEpLcGFnNSLQY0A,RihannaVEVO,21,Rihanna – Official & VEVO Channels,Same Artist,Rihanna's official and VEVO channels.
UCcgqSM4YEo5vVQpqwN-MaNw,Rihanna,21,Rihanna – Official & VEVO Channels,Same Artist,Rihanna's official and VEVO channels.
UCVCdOaiHD05nGQm9tf1SEzw,will i am,22,will.i.am – Official & VEVO Channels,Same Artist,will.i.am's official and VEVO channels.
UC_d6W32xuEAyPlf_KmvvwEA,williamVEVO,22,will.i.am – Official & VEVO Channels,Same Artist,will.i.am's official and VEVO channels.
UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,23,Japanese/Asian Music & Global Pop Crossover,Music Genre,"Cluster dominated by Music of Asia tagged channels, bridged to global pop superstars (Justin Bieber, Ariana Grande) and Japanese singer Ado via collab/feature links; also touches League of Legends esports."
UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,23,Japanese/Asian Music & Global Pop Crossover,Music Genre,"Cluster dominated by Music of Asia tagged channels, bridged to global pop superstars (Justin Bieber, Ariana Grande) and Japanese singer Ado via collab/feature links; also touches League of Legends esports."
UC0Kgvj5t_c9EMWpEDWJuR1Q,DJ Khaled,24,DJ Khaled – Official & VEVO Channels,Same Artist,DJ Khaled's official and VEVO channels.
UCrFB54bqp8sda4udJyNswlA,DJKhaledVEVO,24,DJ Khaled – Official & VEVO Channels,Same Artist,DJ Khaled's official and VEVO channels.
UCEKb3YQMSjHs7tt69hMfPvw,Pay Gotti,25,Hip-Hop Music Artists & VEVO Channels,Music Genre,"Hip-hop artists and their official/VEVO channels (YG, DDG, Pay Gotti)."
UCw4NZm6hgJ0Gxwep1zBrpfQ,YG,25,Hip-Hop Music Artists & VEVO Channels,Music Genre,"Hip-hop artists and their official/VEVO channels (YG, DDG, Pay Gotti)."
UCQvERCDVBsHg0CcBaPihvJg,Ruger,26,Nigerian Afrobeats/Dancehall Artists,Country/Region,"Nigerian Afrobeats and dancehall artists (Ruger, Patoranking) and their VEVO channels."
UC_p3IZfAsQ66RAUxNk7qTqQ,Patoranking,26,Nigerian Afrobeats/Dancehall Artists,Country/Region,"Nigerian Afrobeats and dancehall artists (Ruger, Patoranking) and their VEVO channels."
UC9GtSLeksfK4yuJ_g1lgQbg,aespa,27,Latin Pop & K-pop Crossover Artists,Music Genre,Latin-pop star Becky G (+ VEVO) linked with K-pop group aespa via collaboration.
UCgtNC51EUSgcZ6kKyVoPxKA,Becky G,27,Latin Pop & K-pop Crossover Artists,Music Genre,Latin-pop star Becky G (+ VEVO) linked with K-pop group aespa via collaboration.
UCS24Tr9thUDMcggwNJ41YAQ,Kuuda,28,Small House/Electronic Music Producers,Music Genre,"Small house/melodic-techno producers (CamelPhat, When Stars Align)."
UCVgvEDdwOmLvZO5kvg1S80Q,Josh Gigante,28,Small House/Electronic Music Producers,Music Genre,"Small house/melodic-techno producers (CamelPhat, When Stars Align)."
UCl9a2Sr1yQBl3aW1f47I8Vw,When Stars Align,28,Small House/Electronic Music Producers,Music Genre,"Small house/melodic-techno producers (CamelPhat, When Stars Align)."
UCpm-eB6U_qtPYYQC7kjlNIA,CamelPhat,28,Small House/Electronic Music Producers,Music Genre,"Small house/melodic-techno producers (CamelPhat, When Stars Align)."
UCgZGpR80Z-x5fnUsKuKM2kg,MariooOfficial,29,East African Bongo Flava/Afrobeat Music Artists,Country/Region,"East African (Tanzanian) Bongo Flava and Afrobeat artists (Harmonize, MariooOfficial)."
UCxKoKHs7YwjE_6nL6U36BsQ,D Voice,29,East African Bongo Flava/Afrobeat Music Artists,Country/Region,"East African (Tanzanian) Bongo Flava and Afrobeat artists (Harmonize, MariooOfficial)."
UC3WIRbOw46MsbycRc1N5x4g,JID,30,JID – Official & VEVO Channels,Same Artist,Rapper JID's official and VEVO channels.
UCqTVLEx7lQPmYzc_m6T4sug,JIDVEVO,30,JID – Official & VEVO Channels,Same Artist,Rapper JID's official and VEVO channels.
UCAMMASsBi2u3EH4H8ie1VOw,Flo Rida Videos,31,Flo Rida – Official Channel & Video Channel,Same Artist,Flo Rida's official channel and a secondary video channel.
UCBRFlde39a2U4nAkmGqJwAQ,Flo Rida,31,Flo Rida – Official Channel & Video Channel,Same Artist,Flo Rida's official channel and a secondary video channel.
UC3PdiRW5dUA4V70ueeR1eHA,zayn,32,Zayn – Official & VEVO Channels,Same Artist,Zayn Malik's official and VEVO channels.
UCy5FUarBYUHFpPtYVuvzgcA,ZaynVEVO,32,Zayn – Official & VEVO Channels,Same Artist,Zayn Malik's official and VEVO channels.
UCRZakVHslRU8dzmyX6jNU7Q,FUNKIST - Topic,33,FUNKIST – Official & Auto-generated Topic Channel,Same Artist,Japanese reggae/rock band FUNKIST's official channel and its auto-generated 'Topic' channel.
UCsS4GcdzUm2wR-gKJomPcIQ,FUNKIST official,33,FUNKIST – Official & Auto-generated Topic Channel,Same Artist,Japanese reggae/rock band FUNKIST's official channel and its auto-generated 'Topic' channel.
UC-4mIX9ls8ROVk9ApfeYf5w,French Montana,34,French Montana – Official & VEVO Channels,Same Artist,Rapper French Montana's official and VEVO channels.
UCpmBpSoy6YQjcshNK6pSyIA,FrenchMontanaVEVO,34,French Montana – Official & VEVO Channels,Same Artist,Rapper French Montana's official and VEVO channels.
UCuSv25h638kXRLK4WnRE5qA,Gael Will,35,Small African Pop Music Creators,Country/Region,"Small African pop artists (Cindy Sanyu, Gael Will)."
UCy28fcjOAD027nyICkUifMg,Cindy Sanyu,35,Small African Pop Music Creators,Country/Region,"Small African pop artists (Cindy Sanyu, Gael Will)."
UCCyLTeLNwGXvodrH8QwgBdg,Oliver^_°,0,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian-language entertainment/film channels (Nara Yuwana, mytz)."
UCjnjC4qkArPpbFRj-e0pSVw,𝙭𝙚𝙡𝙡. 🦴♡,1,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian entertainment channels (xell, incu, Nukie)."
UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,2,Animated Comedy/Storytime Creators (TheOdd1sOut circle),Content Format,"Animated storytime comedy channels (TheOdd1sOut, TheOdd2sOut, KRUGSTON)."
UCamdvUq4-BoneYsHZt0Agrw,KarissaEats,3,Small Food & Lifestyle Vlog Creators,Topic/Genre,"Small food and lifestyle vlog channels (KarissaEats, Billiam)."
UCMDQxm7cUx3yXkfeHa5zJIQ,YouTube Viewers,4,YouTube Platform's Own Official Channels & Creator-News,Topic/Genre,"YouTube's own official and creator-education channels (YouTube Creators, YouTube Music, Creator Insider)."
UCStaiwu-FAgp_RC_tBiLh9A,YouTube Music,4,YouTube Platform's Own Official Channels & Creator-News,Topic/Genre,"YouTube's own official and creator-education channels (YouTube Creators, YouTube Music, Creator Insider)."
UCs9_ujGwhCU0BBO6RfTzyEw,ItsJustJay,6,Miscellaneous Small Channels,Miscellaneous,"Loosely connected very small lifestyle channels (ThatGuyJohn, ItsJustJay, Gulay)."
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,7,Global Mega Creators (MrBeast-adjacent),Mainstream/Celebrity,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education."
UCm0f25HAdDa4kMcD_dJPa_g,PinguinD14,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UCS7ymygmWSouLD5N90Tt4Uw,SteelBS,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UCse2f5kmznfkMt0xppwY8VQ,Banpa,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UC4BvTjB-32p0hCe3sdmf2AQ,OG - AquaBS,8,Small Strategy/Casual Gaming Creators,Topic/Genre,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14)."
UC3gUpaZvDknKkxeNfks4Rng,Steve Rachmad,9,Techno/Electronic Music DJs (Awakenings circle),Music Genre,"Techno DJs associated with the Awakenings festival brand (Chris Liebing, Speedy J, Steve Rachmad)."
UC9zY_E8mcAo_Oq772LEZq8Q,THE FIRST TAKE,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UClOZoLNwJVdNzkEhzeevBSA,ZICO,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UCztEY6czNyJKjRWMwuur9bg,幾田りら / Lilas Official,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UCTk7wEWFxDGd1p1BUnUBINg,KOZ Entertainment,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UC-Fnix71vRP64WXeo0ikd0Q,IVE,37,K-pop Idol Groups & Label Channels,Music Genre,"K-pop idol groups and their label channels (STARSHIP, IVE, MONSTA X, KiiiKiii)."
UCYDmx2Sfpnaxg488yBpZIGg,STARSHIP,37,K-pop Idol Groups & Label Channels,Music Genre,"K-pop idol groups and their label channels (STARSHIP, IVE, MONSTA X, KiiiKiii)."
UCGIQxn4fW80bIvFL1neNQEg,Lil' Chief Records,38,New Zealand Independent Music Label (Lil' Chief Records),Country/Region,"New Zealand independent/dream-pop label and artists (Lil' Chief Records, Princess Chelsea, Jonathan Bree)."
UCd5jIyY4vLgFFsfCsyaL3Bw,Jonathan Bree,38,New Zealand Independent Music Label (Lil' Chief Records),Country/Region,"New Zealand independent/dream-pop label and artists (Lil' Chief Records, Princess Chelsea, Jonathan Bree)."
UCxOvN5_bOyr0sBkGVLwh-xw,Princess Chelsea,38,New Zealand Independent Music Label (Lil' Chief Records),Country/Region,"New Zealand independent/dream-pop label and artists (Lil' Chief Records, Princess Chelsea, Jonathan Bree)."
UC07Kxew-cMIaykMOkzqHtBQ,LadyGagaVEVO,39,Lady Gaga – Official & VEVO Channels,Same Artist,Lady Gaga's official and VEVO channels.
UCNL1ZadSjHpjm4q9j2sVtOA,Lady Gaga,39,Lady Gaga – Official & VEVO Channels,Same Artist,Lady Gaga's official and VEVO channels.
UCPaJMRVqhoPwsBqhfOzf1bQ,Rachael Yamagata - Topic,40,Rachael Yamagata – Official & Auto-generated Channels,Same Artist,Singer-songwriter Rachael Yamagata's channel and auto-generated 'Topic' channel.
UCWyS_FZNNDqKNLB7NBHEadw,Rachael Yamagata,40,Rachael Yamagata – Official & Auto-generated Channels,Same Artist,Singer-songwriter Rachael Yamagata's channel and auto-generated 'Topic' channel.
UCTY6fxtqkF_dtGanIhZHHVg,Calum Scott,41,Calum Scott – Official & VEVO Channels,Same Artist,Calum Scott's official and VEVO channels.
UCwUtwxkX0IDk9_OYaBcmRnQ,CalumScottVEVO,41,Calum Scott – Official & VEVO Channels,Same Artist,Calum Scott's official and VEVO channels.
UCFNosi99Sp0_eLilBiXmmXA,FutureVEVO,42,Future – Official & VEVO Channels,Same Artist,Rapper Future's official and VEVO channels.
UCSDvKdIQOwTfcyOimSi9oYA,Future,42,Future – Official & VEVO Channels,Same Artist,Rapper Future's official and VEVO channels.
UCgJG-YH8b_I4nc3oiHssdVA,GHerboVEVO,17,Hip-Hop Artists & VEVO Channels,Music Genre,"Hip-hop artists and their VEVO channels (Harlem Fetty, G Herbo)."
UC35HKvKYPkri4Grd5KXl3wQ,Lilifilm Official,18,Maroon 5 Official/VEVO Channels (+ K-pop dance crossover),Same Artist,"Maroon 5's official and VEVO channels, linked to a K-pop dance-cover channel (Lilifilm Official)."
UCiHOsCL-qUxoKZpNZVM1kNQ,Angie K,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UCAWNXeeLSwC1FaoYEV__u0A,Jai’Len Josey,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UCh1ZFNI53O_CQZ_5NNWbbbw,Xavier Omär,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UCdzxj65vwZieF3BI-tvQ9KQ,Mary Sarah,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UCYJZgZnRR_SjmdfaZEzIlgQ,kwn,19,Country Music Artists,Music Genre,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson)."
UCIUKjjLfyf19Mr6Q_27GXlw,YGVEVO,25,Hip-Hop Music Artists & VEVO Channels,Music Genre,"Hip-hop artists and their official/VEVO channels (YG, DDG, Pay Gotti)."
UCugoOHsHbbuPL9421CjxSEA,RugerVEVO,26,Nigerian Afrobeats/Dancehall Artists,Country/Region,"Nigerian Afrobeats and dancehall artists (Ruger, Patoranking) and their VEVO channels."
UCm55ke1xuIvjtX5wXkENpFA,PatorankingVEVO,26,Nigerian Afrobeats/Dancehall Artists,Country/Region,"Nigerian Afrobeats and dancehall artists (Ruger, Patoranking) and their VEVO channels."
UCJrREGJ2R1mMuKJkZ8SMCcA,BeckyGVEVO,27,Latin Pop & K-pop Crossover Artists,Music Genre,Latin-pop star Becky G (+ VEVO) linked with K-pop group aespa via collaboration.
UCYYpf5Sz7ftJUCW4YPY2ZsQ,not johny²,0,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian-language entertainment/film channels (Nara Yuwana, mytz)."
UCqING2zcYYkHMdTUj9Po5mg,ab1,0,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian-language entertainment/film channels (Nara Yuwana, mytz)."
UC0GLNhtTu7yI8rl6ZZGeezw,TheOdd2sOut,2,Animated Comedy/Storytime Creators (TheOdd1sOut circle),Content Format,"Animated storytime comedy channels (TheOdd1sOut, TheOdd2sOut, KRUGSTON)."
UC28dly7fFiPlISI-0AE-fbw,KRUGSTON,2,Animated Comedy/Storytime Creators (TheOdd1sOut circle),Content Format,"Animated storytime comedy channels (TheOdd1sOut, TheOdd2sOut, KRUGSTON)."
UCzIKEtTkedCG0HYwlof6fMw,Echoes,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UC9cz0t8P3VkTHY7xjbS8zHA,miwa official YouTube channel,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UCtXKddsQv6rrJ7tUUpZz-og,SO-SO,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UCMF_5h2OejEhVorTB02UUSg,MAZZEL,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UCnwV0i25fH8pBrzuJ3WrHTw,レミオロメン,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UC5RmUAcm_w5K9cxtQSj7W7g,TOKYO SKA PARADISE ORCHESTRA OFFICIAL,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UC1aTKL3dU_xQ5OqhtCpNjMw,SAINT SATINE,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,36,J-pop/K-pop Hit Music & Live Performance Channels,Music Genre,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI."
